Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Age
I,0.265,0.2,0.065,0.0975,0.04,0.0205,0.028,Young
F,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355,Young
F,0.305,0.23,0.08,0.156,0.0675,0.0345,0.048,Young
M,0.345,0.255,0.09,0.2005,0.094,0.0295,0.063,Adult
F,0.405,0.325,0.11,0.3555,0.151,0.063,0.117,Adult
M,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925,Adult
F,0.565,0.445,0.155,0.826,0.341,0.2055,0.2475,Adult
F,0.55,0.45,0.145,0.741,0.295,0.1435,0.2665,Adult
M,0.65,0.52,0.19,1.3445,0.519,0.306,0.4465,Old
M,0.56,0.455,0.155,0.797,0.34,0.19,0.2425,Adult
M,0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17,Adult
F,0.49,0.38,0.125,0.549,0.245,0.1075,0.174,Adult
M,0.46,0.35,0.12,0.515,0.224,0.108,0.1565,Adult
I,0.28,0.205,0.08,0.127,0.052,0.039,0.042,Adult
I,0.175,0.13,0.055,0.0315,0.0105,0.0065,0.0125,Young
I,0.17,0.13,0.095,0.03,0.013,0.008,0.01,Young
M,0.59,0.475,0.145,1.053,0.4415,0.262,0.325,Old
F,0.605,0.5,0.185,1.1185,0.469,0.2585,0.335,Adult
F,0.635,0.515,0.19,1.3715,0.5065,0.305,0.45,Adult
F,0.605,0.485,0.16,1.0565,0.37,0.2355,0.355,Adult
F,0.565,0.45,0.135,0.9885,0.387,0.1495,0.31,Adult
M,0.515,0.405,0.13,0.722,0.32,0.131,0.21,Adult
F,0.575,0.46,0.19,0.994,0.392,0.2425,0.34,Adult
M,0.645,0.485,0.215,1.514,0.546,0.2615,0.635,Old
F,0.58,0.455,0.17,0.9075,0.374,0.2135,0.285,Adult
F,0.575,0.46,0.165,1.124,0.2985,0.1785,0.44,Adult
M,0.605,0.465,0.165,1.056,0.4215,0.2475,0.34,Adult
F,0.605,0.485,0.16,1.222,0.53,0.2575,0.28,Adult
M,0.61,0.485,0.175,1.2445,0.544,0.297,0.345,Adult
F,0.725,0.56,0.21,2.141,0.65,0.398,1.005,Old
F,0.65,0.545,0.23,1.752,0.5605,0.2895,0.815,Old
M,0.725,0.57,0.19,2.55,1.0705,0.483,0.725,Adult
F,0.725,0.575,0.175,2.124,0.765,0.4515,0.85,Old
F,0.68,0.57,0.205,1.842,0.625,0.408,0.65,Old
M,0.705,0.56,0.22,1.981,0.8175,0.3085,0.76,Adult
F,0.68,0.515,0.175,1.6185,0.5125,0.409,0.62,Adult
M,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59,Adult
F,0.53,0.395,0.145,0.775,0.308,0.169,0.255,Young
M,0.525,0.435,0.155,1.065,0.486,0.233,0.285,Young
F,0.52,0.405,0.115,0.776,0.32,0.1845,0.22,Young
I,0.235,0.16,0.04,0.048,0.0185,0.018,0.015,Young
I,0.36,0.26,0.09,0.1785,0.0645,0.037,0.075,Young
I,0.315,0.21,0.06,0.125,0.06,0.0375,0.035,Young
I,0.315,0.245,0.085,0.1435,0.053,0.0475,0.05,Young
I,0.225,0.16,0.045,0.0465,0.025,0.015,0.015,Young
M,0.58,0.475,0.15,0.97,0.385,0.2165,0.35,Adult
M,0.57,0.48,0.18,0.9395,0.399,0.2,0.295,Adult
M,0.64,0.51,0.175,1.368,0.515,0.266,0.57,Old
F,0.56,0.45,0.16,1.0235,0.429,0.268,0.3,Adult
F,0.62,0.475,0.175,1.0165,0.4355,0.214,0.325,Adult
F,0.645,0.51,0.2,1.5675,0.621,0.367,0.46,Adult
M,0.62,0.49,0.19,1.218,0.5455,0.2965,0.355,Adult
F,0.63,0.48,0.15,1.0525,0.392,0.336,0.285,Adult
F,0.63,0.5,0.185,1.383,0.54,0.3315,0.38,Adult
F,0.63,0.48,0.16,1.199,0.5265,0.335,0.315,Adult
F,0.585,0.46,0.17,0.9325,0.365,0.271,0.29,Adult
M,0.615,0.48,0.18,1.1595,0.4845,0.2165,0.325,Adult
M,0.61,0.485,0.17,1.0225,0.419,0.2405,0.36,Adult
M,0.58,0.45,0.15,0.927,0.276,0.1815,0.36,Adult
I,0.355,0.275,0.085,0.22,0.092,0.06,0.15,Young
F,0.51,0.4,0.14,0.8145,0.459,0.1965,0.195,Adult
M,0.5,0.405,0.155,0.772,0.346,0.1535,0.245,Adult
F,0.505,0.41,0.15,0.644,0.285,0.145,0.21,Adult
M,0.64,0.5,0.185,1.3035,0.4445,0.2635,0.465,Old
M,0.56,0.45,0.16,0.922,0.432,0.178,0.26,Old
M,0.585,0.46,0.185,0.922,0.3635,0.213,0.285,Adult
F,0.45,0.345,0.12,0.4165,0.1655,0.095,0.135,Adult
M,0.5,0.4,0.165,0.825,0.254,0.205,0.285,Adult
F,0.5,0.4,0.145,0.63,0.234,0.1465,0.23,Adult
F,0.53,0.435,0.17,0.8155,0.2985,0.155,0.275,Adult
M,0.42,0.335,0.115,0.369,0.171,0.071,0.12,Young
F,0.44,0.34,0.14,0.482,0.186,0.1085,0.16,Adult
I,0.4,0.3,0.11,0.315,0.109,0.067,0.12,Adult
I,0.435,0.34,0.11,0.3795,0.1495,0.085,0.12,Young
F,0.525,0.415,0.17,0.8325,0.2755,0.1685,0.31,Adult
I,0.37,0.28,0.095,0.2655,0.122,0.052,0.08,Young
F,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,Adult
M,0.335,0.25,0.09,0.181,0.0755,0.0415,0.06,Young
F,0.415,0.325,0.105,0.38,0.1595,0.0785,0.12,Adult
M,0.5,0.405,0.14,0.6155,0.241,0.1355,0.205,Adult
F,0.485,0.395,0.16,0.66,0.2475,0.128,0.235,Adult
M,0.55,0.405,0.14,0.8025,0.244,0.1635,0.255,Adult
M,0.45,0.35,0.13,0.46,0.174,0.111,0.135,Young
I,0.405,0.3,0.12,0.324,0.1265,0.07,0.11,Young
M,0.47,0.36,0.135,0.501,0.1665,0.115,0.165,Adult
F,0.415,0.305,0.13,0.32,0.1305,0.0755,0.105,Young
F,0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,Adult
F,0.47,0.35,0.145,0.5175,0.187,0.1235,0.18,Adult
F,0.49,0.375,0.15,0.5755,0.22,0.144,0.19,Adult
F,0.445,0.355,0.15,0.485,0.181,0.125,0.155,Adult
I,0.425,0.38,0.105,0.3265,0.1285,0.0785,0.1,Adult
F,0.5,0.37,0.135,0.45,0.1715,0.1055,0.155,Adult
F,0.39,0.29,0.125,0.3055,0.121,0.082,0.09,Young
I,0.365,0.27,0.085,0.205,0.078,0.0485,0.07,Young
F,0.58,0.465,0.165,1.1015,0.404,0.2095,0.35,Adult
F,0.53,0.415,0.16,0.783,0.2935,0.158,0.245,Old
M,0.555,0.445,0.135,0.836,0.336,0.1625,0.275,Adult
M,0.565,0.44,0.175,0.9025,0.31,0.193,0.325,Adult
M,0.625,0.505,0.215,1.4455,0.496,0.287,0.435,Old
I,0.275,0.215,0.075,0.1155,0.0485,0.029,0.035,Young
I,0.44,0.35,0.135,0.435,0.1815,0.083,0.125,Adult
I,0.295,0.225,0.08,0.124,0.0485,0.032,0.04,Adult
I,0.075,0.055,0.01,0.002,0.001,0.0005,0.0015,Young
I,0.13,0.1,0.03,0.013,0.0045,0.003,0.004,Young
I,0.11,0.09,0.03,0.008,0.0025,0.002,0.003,Young
I,0.16,0.12,0.035,0.021,0.0075,0.0045,0.005,Young
M,0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275,Old
I,0.27,0.2,0.07,0.1,0.034,0.0245,0.035,Young
I,0.23,0.175,0.065,0.0645,0.026,0.0105,0.02,Young
I,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04,Young
I,0.33,0.255,0.085,0.1655,0.063,0.039,0.06,Young
I,0.35,0.26,0.085,0.174,0.0705,0.0345,0.06,Adult
I,0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05,Adult
I,0.36,0.275,0.085,0.1975,0.0745,0.0415,0.07,Adult
I,0.305,0.245,0.075,0.156,0.0675,0.038,0.045,Young
I,0.345,0.27,0.11,0.2135,0.082,0.0545,0.07,Young
I,0.33,0.25,0.105,0.1715,0.0655,0.035,0.06,Young
M,0.59,0.47,0.18,1.1235,0.4205,0.2805,0.36,Adult
F,0.595,0.455,0.155,1.0605,0.5135,0.2165,0.3,Adult
F,0.575,0.46,0.185,1.094,0.4485,0.217,0.345,Old
M,0.6,0.495,0.165,1.2415,0.485,0.2775,0.34,Old
M,0.56,0.45,0.175,1.011,0.3835,0.2065,0.37,Old
M,0.56,0.45,0.185,1.07,0.3805,0.175,0.41,Old
M,0.545,0.46,0.16,0.8975,0.341,0.1655,0.345,Adult
F,0.635,0.505,0.17,1.415,0.605,0.297,0.365,Old
F,0.59,0.475,0.16,1.1015,0.4775,0.2555,0.295,Adult
F,0.54,0.475,0.155,0.928,0.394,0.194,0.26,Adult
F,0.57,0.44,0.125,0.865,0.3675,0.1725,0.27,Adult
M,0.53,0.42,0.165,0.8945,0.319,0.239,0.245,Adult
I,0.245,0.195,0.06,0.095,0.0445,0.0245,0.026,Young
M,0.27,0.2,0.08,0.1205,0.0465,0.028,0.04,Young
F,0.46,0.38,0.13,0.639,0.3,0.1525,0.16,Adult
M,0.52,0.45,0.15,0.895,0.3615,0.186,0.235,Adult
M,0.35,0.275,0.11,0.2925,0.1225,0.0635,0.0905,Young
M,0.47,0.39,0.15,0.6355,0.2185,0.0885,0.255,Adult
F,0.45,0.36,0.125,0.4995,0.2035,0.1,0.17,Adult
F,0.64,0.525,0.215,1.779,0.4535,0.2855,0.55,Old
M,0.59,0.5,0.2,1.187,0.412,0.2705,0.37,Old
M,0.62,0.485,0.205,1.219,0.3875,0.2505,0.385,Adult
M,0.63,0.505,0.225,1.525,0.56,0.3335,0.45,Old
M,0.63,0.515,0.155,1.259,0.4105,0.197,0.41,Adult
M,0.655,0.54,0.215,1.844,0.7425,0.327,0.585,Old
F,0.66,0.53,0.185,1.3485,0.493,0.245,0.49,Adult
M,0.61,0.5,0.24,1.642,0.532,0.3345,0.69,Old
M,0.635,0.525,0.205,1.484,0.55,0.3115,0.43,Old
F,0.515,0.425,0.135,0.712,0.2665,0.1605,0.25,Adult
F,0.535,0.415,0.185,0.8415,0.314,0.1585,0.3,Old
I,0.36,0.285,0.105,0.2415,0.0915,0.057,0.075,Young
F,0.455,0.355,0.12,0.4495,0.177,0.104,0.15,Adult
M,0.485,0.395,0.14,0.6295,0.2285,0.127,0.225,Adult
M,0.515,0.38,0.175,0.9565,0.325,0.158,0.31,Adult
F,0.535,0.415,0.17,0.879,0.295,0.1965,0.285,Adult
M,0.53,0.435,0.155,0.699,0.288,0.1595,0.205,Adult
F,0.495,0.4,0.155,0.6445,0.242,0.1325,0.205,Old
M,0.44,0.355,0.125,0.4775,0.132,0.0815,0.19,Adult
F,0.535,0.435,0.16,0.8105,0.3155,0.1795,0.24,Adult
M,0.54,0.435,0.18,0.996,0.3835,0.226,0.325,Old
F,0.565,0.505,0.21,1.2765,0.501,0.279,0.355,Adult
M,0.61,0.475,0.165,1.116,0.428,0.2205,0.315,Old
F,0.565,0.455,0.175,1.013,0.342,0.207,0.35,Old
M,0.6,0.495,0.195,1.0575,0.384,0.19,0.375,Old
I,0.295,0.215,0.085,0.128,0.049,0.034,0.04,Young
I,0.275,0.205,0.075,0.1105,0.045,0.0285,0.035,Young
I,0.28,0.21,0.085,0.1065,0.039,0.0295,0.03,Young
M,0.49,0.395,0.14,0.549,0.2215,0.1275,0.15,Adult
M,0.37,0.28,0.105,0.234,0.0905,0.0585,0.075,Adult
F,0.405,0.305,0.095,0.3485,0.1455,0.0895,0.1,Adult
F,0.54,0.435,0.175,0.892,0.322,0.174,0.335,Adult
M,0.37,0.28,0.1,0.252,0.1065,0.0595,0.074,Young
M,0.36,0.27,0.1,0.217,0.0885,0.0495,0.0715,Young
F,0.47,0.36,0.13,0.472,0.182,0.114,0.15,Adult
I,0.2,0.145,0.06,0.037,0.0125,0.0095,0.011,Young
I,0.165,0.12,0.03,0.0215,0.007,0.005,0.005,Young
M,0.645,0.515,0.24,1.5415,0.471,0.369,0.535,Adult
M,0.55,0.41,0.125,0.7605,0.2505,0.1635,0.195,Adult
M,0.57,0.435,0.145,0.9055,0.3925,0.2355,0.275,Adult
F,0.63,0.485,0.19,1.2435,0.4635,0.3055,0.39,Old
M,0.56,0.44,0.14,0.971,0.443,0.2045,0.265,Adult
M,0.595,0.455,0.195,1.3305,0.4595,0.3235,0.345,Old
F,0.62,0.47,0.2,1.2255,0.381,0.27,0.435,Old
M,0.63,0.485,0.175,1.3,0.4335,0.2945,0.46,Old
I,0.45,0.355,0.11,0.4585,0.194,0.067,0.14,Young
F,0.635,0.535,0.19,1.242,0.576,0.2475,0.39,Adult
M,0.45,0.35,0.1,0.3675,0.1465,0.1015,0.12,Adult
F,0.58,0.455,0.155,0.8365,0.315,0.1385,0.32,Old
I,0.33,0.255,0.095,0.172,0.066,0.0255,0.06,Young
I,0.265,0.21,0.06,0.0965,0.0425,0.022,0.03,Young
I,0.19,0.145,0.04,0.038,0.0165,0.0065,0.015,Young
M,0.385,0.31,0.1,0.2845,0.1065,0.075,0.1,Adult
I,0.265,0.205,0.07,0.1055,0.039,0.041,0.035,Young
M,0.335,0.265,0.105,0.222,0.0935,0.056,0.075,Young
I,0.355,0.275,0.09,0.251,0.097,0.053,0.08,Young
I,0.32,0.255,0.1,0.1755,0.073,0.0415,0.065,Young
M,0.51,0.4,0.13,0.6435,0.27,0.1665,0.205,Adult
M,0.36,0.295,0.105,0.241,0.0865,0.053,0.095,Young
I,0.36,0.28,0.09,0.2255,0.0885,0.04,0.09,Young
M,0.5,0.38,0.155,0.5955,0.2135,0.161,0.2,Adult
F,0.4,0.325,0.12,0.3185,0.134,0.0565,0.095,Young
I,0.3,0.22,0.08,0.121,0.0475,0.042,0.035,Young
I,0.235,0.175,0.04,0.0705,0.0335,0.015,0.02,Young
F,0.74,0.6,0.195,1.974,0.598,0.4085,0.71,Old
M,0.62,0.465,0.19,1.3415,0.5705,0.3175,0.355,Adult
M,0.6,0.475,0.19,1.0875,0.403,0.2655,0.325,Adult
M,0.59,0.45,0.185,1.283,0.473,0.276,0.425,Old
M,0.62,0.475,0.185,1.325,0.6045,0.325,0.33,Adult
F,0.565,0.45,0.195,1.0035,0.406,0.2505,0.285,Old
M,0.575,0.455,0.145,1.165,0.581,0.2275,0.3,Adult
F,0.62,0.51,0.205,1.3475,0.4775,0.2565,0.48,Adult
M,0.62,0.465,0.185,1.274,0.579,0.3065,0.32,Adult
F,0.505,0.375,0.18,0.568,0.2325,0.1495,0.17,Adult
F,0.46,0.425,0.155,0.746,0.3005,0.152,0.24,Young
M,0.49,0.39,0.14,0.707,0.2795,0.2185,0.18,Adult
F,0.525,0.42,0.16,0.756,0.2745,0.173,0.275,Adult
I,0.34,0.26,0.08,0.2,0.08,0.0555,0.055,Young
I,0.375,0.305,0.115,0.2715,0.092,0.074,0.09,Young
M,0.61,0.48,0.15,1.2,0.56,0.2455,0.28,Adult
F,0.61,0.495,0.185,1.153,0.536,0.2905,0.245,Young
F,0.585,0.45,0.17,0.8685,0.3325,0.1635,0.27,Old
M,0.57,0.46,0.14,0.9535,0.4465,0.2065,0.245,Adult
M,0.58,0.455,0.17,0.93,0.408,0.259,0.22,Adult
M,0.635,0.515,0.17,1.275,0.509,0.286,0.34,Old
M,0.7,0.58,0.205,2.13,0.7415,0.49,0.58,Old
M,0.675,0.525,0.185,1.587,0.6935,0.336,0.395,Adult
F,0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395,Old
M,0.745,0.585,0.215,2.499,0.9265,0.472,0.7,Old
F,0.685,0.545,0.18,1.768,0.7495,0.392,0.485,Old
M,0.605,0.49,0.18,1.227,0.48,0.287,0.35,Old
F,0.59,0.465,0.15,0.997,0.392,0.246,0.34,Adult
F,0.65,0.525,0.175,1.4225,0.61,0.2995,0.445,Old
F,0.6,0.48,0.15,1.029,0.4085,0.2705,0.295,Old
F,0.62,0.5,0.175,1.186,0.4985,0.3015,0.35,Adult
M,0.63,0.515,0.16,1.016,0.4215,0.244,0.355,Old
M,0.58,0.465,0.145,0.887,0.4405,0.1655,0.265,Adult
F,0.58,0.455,0.12,1.0735,0.479,0.2735,0.265,Adult
M,0.63,0.49,0.18,1.13,0.458,0.2765,0.315,Adult
F,0.69,0.56,0.215,1.719,0.68,0.299,0.47,Old
F,0.65,0.545,0.165,1.566,0.6645,0.3455,0.415,Old
F,0.66,0.565,0.195,1.7605,0.692,0.3265,0.5,Old
F,0.68,0.58,0.2,1.787,0.585,0.453,0.6,Old
F,0.7,0.575,0.17,1.31,0.5095,0.314,0.42,Adult
M,0.685,0.52,0.15,1.343,0.4635,0.292,0.4,Adult
F,0.675,0.545,0.195,1.7345,0.6845,0.3695,0.605,Old
M,0.63,0.49,0.19,1.1775,0.4935,0.3365,0.285,Adult
F,0.585,0.45,0.16,1.077,0.4995,0.2875,0.25,Adult
M,0.565,0.465,0.175,0.995,0.3895,0.183,0.37,Old
F,0.61,0.495,0.185,1.1085,0.3705,0.3135,0.33,Adult
M,0.605,0.47,0.18,1.1405,0.3755,0.2805,0.385,Old
M,0.535,0.42,0.145,0.791,0.33,0.189,0.25,Adult
M,0.485,0.4,0.135,0.663,0.313,0.137,0.2,Adult
M,0.47,0.375,0.12,0.5565,0.226,0.122,0.195,Adult
M,0.545,0.425,0.135,0.8445,0.373,0.21,0.235,Adult
F,0.455,0.37,0.105,0.4925,0.216,0.1245,0.135,Adult
M,0.54,0.42,0.155,0.7385,0.3515,0.152,0.215,Adult
M,0.46,0.38,0.135,0.482,0.207,0.1225,0.145,Adult
M,0.49,0.42,0.125,0.609,0.239,0.1435,0.22,Adult
I,0.465,0.375,0.12,0.471,0.222,0.119,0.14,Adult
I,0.415,0.325,0.1,0.3215,0.1535,0.0595,0.105,Adult
M,0.475,0.375,0.125,0.593,0.277,0.115,0.18,Adult
F,0.47,0.375,0.125,0.5615,0.252,0.137,0.18,Adult
I,0.365,0.295,0.095,0.25,0.1075,0.0545,0.08,Adult
I,0.345,0.275,0.095,0.1995,0.0755,0.0535,0.07,Young
I,0.39,0.31,0.1,0.302,0.116,0.064,0.115,Adult
F,0.5,0.395,0.14,0.7155,0.3165,0.176,0.24,Adult
